assigned_topic,topic_label,n_errors,most_confused_true,most_confused_pred,n_total,error_rate
2220,2220_yards_quarterback_touchdowns_receptions,1,et (1),uk (1),1,1.0
2227,2227_beetle_beetles_convertible_fenders,1,cs (1),et (1),1,1.0
2258,2258_orbits_solutions_bodies_mathematical,1,uk (1),ko (1),1,1.0
2344,2344_wee_pee_cameo_cameos,1,nl (1),ko (1),1,1.0
2310,2310_mukbang_consuming_pornography_habits,1,uk (1),ko (1),1,1.0
2292,2292_guards_defensive_guard_basketball,1,uk (1),cs (1),1,1.0
2230,2230_rush_bands_rock_zeppelin,1,cs (1),et (1),1,1.0
2092,2092_bacon_pork_vegetarian_meat,1,nl (1),ko (1),1,1.0
2057,2057_streaming_premiere_tv_stream,1,cs (1),ko (1),1,1.0
2282,2282_rosemary_lobotomy_nuns_lobotomized,1,cs (1),et (1),1,1.0
2188,2188_albums_album_songs_concert,1,uk (1),et (1),1,1.0
2139,2139_presidential_parliamentary_governs_government,1,ko (1),cs (1),1,1.0
2130,2130_touchdowns_interceptions_touchdown_quarterback,1,uk (1),et (1),1,1.0
2129,2129_fish_cannibalism_tortured_murders,1,et (1),uk (1),1,1.0
1700,1700_saints_row_stadia_games,1,cs (1),ko (1),1,1.0
1463,1463_flow_experiences_performance_motivation,1,nl (1),et (1),1,1.0
1520,1520_album_songs_vocals_song,1,uk (1),ko (1),1,1.0
1484,1484_assassination_tortured_raped_incident,1,uk (1),ko (1),1,1.0
1406,1406_luxury_brands_brand_valuation,1,uk (1),ko (1),1,1.0
1579,1579_phase_phases_transformer_electrical,1,cs (1),ko (1),1,1.0
1538,1538_bridges_bridge_viaducts_arches,2,ko (1),cs (1),2,1.0
1535,1535_anthem_anthems_hymn_stanza,1,ko (1),cs (1),1,1.0
1559,1559_rockabilly_chorus_songwriter_singing,1,cs (1),uk (1),1,1.0
1629,1629_payments_bank_payment_prepaid,1,uk (1),cs (1),1,1.0
1657,1657_shamrocks_parades_shamrock_celebrated,1,cs (1),ko (1),1,1.0
1670,1670_remixes_pet_remixed_remix,1,uk (1),et (1),1,1.0
1531,1531_albums_concert_toured_band,2,cs (2),uk (2),2,1.0
1302,1302_famine_crops_agrarian_agricultural,1,ko (1),uk (1),1,1.0
1349,1349_howl_poetry_poet_poems,1,et (1),ko (1),1,1.0
1367,1367_punk_flag_bands_black,1,et (1),uk (1),1,1.0
1210,1210_slaughterhouse_novelist_novels_writer,1,cs (1),et (1),1,1.0
1228,1228_1451_1453_1456_1452,1,ko (1),uk (1),1,1.0
1243,1243_heterochromia_pigmentation_pigment_pigments,2,uk (2),cs (2),2,1.0
1232,1232_conferences_talks_presentations_livestreams,1,uk (1),cs (1),1,1.0
1267,1267_doomsday_sequel_gameplay_multiplayer,3,cs (2),uk (2),3,1.0
1366,1366_data_datasets_analytics_databases,1,et (1),cs (1),1,1.0
1304,1304_guitarists_band_toured_bands,1,ko (1),cs (1),1,1.0
1131,1131_1451_pasha_1477_1476,1,uk (1),ko (1),1,1.0
1101,1101_treaty_treaties_covenant_league,1,nl (1),cs (1),1,1.0
1123,1123_shroud_crucified_crucifixion_burial,2,cs (1),uk (1),2,1.0
1194,1194_mayor_mayors_mayoral_mayoralty,1,cs (1),nl (1),1,1.0
1059,1059_blinding_heartless_lights_song,1,cs (1),et (1),1,1.0
1056,1056_palaces_ibn_mosque_palace,1,cs (1),ko (1),1,1.0
1043,1043_cloud_clouds_azure_virtualization,3,ko (2),uk (2),3,1.0
1041,1041_torturing_strangled_stabbing_murdered,1,ko (1),et (1),1,1.0
1039,1039_elves_elf_folklore_fairies,1,et (1),cs (1),1,1.0
1873,1873_divine_persona_scene_onstage,2,cs (2),ko (2),2,1.0
2069,2069_songs_song_singer_albums,1,uk (1),cs (1),1,1.0
1789,1789_tai_chi_martial_wushu,1,ko (1),et (1),1,1.0
1856,1856_scratch_scratching_programming_scratched,1,nl (1),ko (1),1,1.0
1743,1743_ant_ants_toured_tour,1,ko (1),et (1),1,1.0
1733,1733_devil_demon_satan_soul,1,cs (1),nl (1),1,1.0
1728,1728_medal_medals_presidential_president,1,cs (1),ko (1),1,1.0
1937,1937_golf_golfer_golfers_handicaps,1,uk (1),ko (1),1,1.0
506,506_soprano_mafia_joey_carmine,5,cs (2),uk (2),6,0.8333333333333334
1492,1492_attractiveness_aesthetics_beauty_aesthetic,4,cs (3),uk (3),5,0.8
925,925_stones_stone_guitarist_guitarists,3,nl (2),et (3),4,0.75
1353,1353_cherry_blossom_cherries_blossoms,3,uk (3),cs (2),4,0.75
2222,2222_retailer_store_sales_shop,7,et (2),ko (5),10,0.7
741,741_airing_adult_swim_aqua,2,et (1),uk (1),3,0.6666666666666666
512,512_women_comfort_geisha_grandmothers,2,ko (1),nl (1),3,0.6666666666666666
860,860_pastor_pastors_megachurch_evangelical,2,uk (2),cs (2),3,0.6666666666666666
1119,1119_proud_boys_protests_protesters,6,cs (2),uk (2),9,0.6666666666666666
598,598_sitcom_woody_cast_primetime,2,nl (1),cs (1),3,0.6666666666666666
640,640_defamation_lawsuit_sued_libel,2,et (1),uk (1),3,0.6666666666666666
1528,1528_halo_chief_343_master,4,uk (2),uk (2),6,0.6666666666666666
1133,1133_spartan_ancient_battle_invasion,2,ko (2),cs (1),3,0.6666666666666666
1769,1769_brave_browser_browsers_chrome,2,uk (1),nl (1),3,0.6666666666666666
2163,2163_sausage_sausages_bun_chili,3,et (3),cs (2),5,0.6
1132,1132_burning_burners_organizers_attendees,3,ko (2),et (1),5,0.6
989,989_cook_voyage_voyages_sailed,4,cs (2),cs (2),7,0.5714285714285714
2125,2125_libel_celebrity_reportedly_scandals,1,et (1),ko (1),2,0.5
2172,2172_home_sequels_sequel_screenplays,1,et (1),cs (1),2,0.5
2152,2152_transit_commute_commuting_commuters,3,uk (2),cs (1),6,0.5
2202,2202_medieval_antiquity_renaissance_darkness,1,cs (1),ko (1),2,0.5
1899,1899_museums_museum_exhibit_exhibits,1,ko (1),cs (1),2,0.5
1892,1892_butterfly_bride_dagger_flowers,1,ko (1),cs (1),2,0.5
1972,1972_dragons_imagine_unreleased_indie,1,nl (1),ko (1),2,0.5
171,171_mountains_mountain_plains_topography,1,et (1),ko (1),2,0.5
63,63_breeds_terrier_terriers_shepherd,2,cs (1),et (1),4,0.5
53,53_comedian_primetime_night_comedians,1,ko (1),uk (1),2,0.5
715,715_paleolithic_neolithic_archaeological_prehistory,1,nl (1),et (1),2,0.5
840,840_airline_airlines_seats_seating,1,et (1),ko (1),2,0.5
1003,1003_motocross_motorcycle_stunt_bike,1,uk (1),cs (1),2,0.5
107,107_anthrax_slayer_thrash_bands,5,cs (3),uk (2),10,0.5
103,103_climber_climbers_mountaineering_climb,1,ko (1),cs (1),2,0.5
1328,1328_tectonics_tectonic_mantle_crust,1,uk (1),cs (1),2,0.5
1271,1271_jong_heir_eldest_successor,1,cs (1),uk (1),2,0.5
1646,1646_catch_22_circumstance_novel,5,ko (3),uk (2),10,0.5
2232,2232_clitoris_position_positions_intercourse,1,cs (1),et (1),2,0.5
1819,1819_javelin_athlete_badminton_olympic,1,ko (1),cs (1),2,0.5
1809,1809_park_parks_parking_central,1,uk (1),cs (1),2,0.5
1863,1863_rap_rock_album_band,4,cs (2),et (2),8,0.5
1711,1711_thirty_seconds_tour_album,2,ko (2),et (1),4,0.5
1606,1606_ibn_folktales_tales_literature,1,et (1),ko (1),2,0.5
1476,1476_evil_eye_gaze_eyes,2,uk (1),cs (1),4,0.5
1057,1057_nirvana_overdosed_grunge_overdose,1,cs (1),uk (1),2,0.5
1581,1581_mix_albums_little_remix,3,nl (1),uk (2),6,0.5
1637,1637_donkey_fairy_godmother_dragon,1,et (1),uk (1),2,0.5
731,731_sake_rice_liquor_brewing,1,nl (1),ko (1),2,0.5
682,682_farmworkers_unions_picketing_protest,1,uk (1),cs (1),2,0.5
666,666_nonfiction_bestseller_novelist_autobiography,1,nl (1),cs (1),2,0.5
877,877_stratosphere_meteorological_stratospheric_climatic,1,ko (1),cs (1),2,0.5
870,870_roof_prosecution_defendants_sentencing,2,ko (2),cs (2),4,0.5
992,992_linden_lab_copyright_token,1,cs (1),uk (1),2,0.5
467,467_katana_kata_swords_sword,1,ko (1),cs (1),2,0.5
274,274_bee_sang_singer_songwriter,1,uk (1),ko (1),2,0.5
248,248_species_wildlife_fauna_birds,1,cs (1),ko (1),2,0.5
306,306_medals_medal_commendation_gallantry,1,nl (1),uk (1),2,0.5
929,929_medicine_medicinal_medicines_physicians,1,ko (1),uk (1),2,0.5
1053,1053_bird_storm_star_rebounds,1,cs (1),ko (1),2,0.5
1596,1596_sky_gaming_gameplay_gamer,1,ko (1),cs (1),2,0.5
0,0_goalscorer_scored_goals_goal,4,cs (2),ko (3),9,0.4444444444444444
192,192_polygamous_polygamy_polyamory_polygamists,8,cs (4),nl (6),18,0.4444444444444444
213,213_showrunner_episode_showrunners_episodes,3,et (3),uk (2),7,0.42857142857142855
2154,2154_studios_lions_acquisitions_paramount,2,cs (1),ko (2),5,0.4
1862,1862_quixotic_literature_chivalric_novel,2,uk (1),cs (1),5,0.4
1225,1225_bean_teddy_episodes_sitcom,2,ko (2),cs (2),5,0.4
1453,1453_campaigned_politician_governor_long,2,uk (1),cs (1),5,0.4
1877,1877_zombie_walkers_zombies_walking,5,et (2),ko (2),13,0.38461538461538464
1028,1028_probability_probabilities_doors_car,6,et (2),ko (3),16,0.375
551,551_dances_dance_dancers_traditional,3,et (2),cs (2),8,0.375
1813,1813_honeys_honey_honeydew_bees,3,uk (2),ko (2),8,0.375
1790,1790_cents_coins_monetary_shillings,3,cs (1),uk (1),8,0.375
441,441_woman_wonder_goddess_feminist,4,cs (1),et (1),11,0.36363636363636365
159,159_windows_vista_os_pc,1,et (1),cs (1),3,0.3333333333333333
2240,2240_sesame_episodes_cartoon_licensing,1,ko (1),cs (1),3,0.3333333333333333
2346,2346_marriages_cohabitation_marriage_heterosexuals,2,uk (1),nl (2),6,0.3333333333333333
2367,2367_critical_thinking_reasoned_reflective,1,ko (1),cs (1),3,0.3333333333333333
2205,2205_bow_actress_1932_laurels,4,nl (2),ko (3),12,0.3333333333333333
2145,2145_wastes_waste_disposal_recycling,1,cs (1),nl (1),3,0.3333333333333333
1887,1887_bake_baking_bakery_bakeries,1,uk (1),ko (1),3,0.3333333333333333
2209,2209_midnight_noon_midday_clock,1,nl (1),uk (1),3,0.3333333333333333
1986,1986_sour_songwriter_grungy_debut,1,ko (1),uk (1),3,0.3333333333333333
1211,1211_sequels_ash_trilogy_evil,1,ko (1),et (1),3,0.3333333333333333
1477,1477_smartwatch_watches_smartwatches_apple,2,nl (1),ko (1),6,0.3333333333333333
1475,1475_indigenous_spirit_spirits_natives,1,nl (1),uk (1),3,0.3333333333333333
1650,1650_uniforms_uniformed_berets_beret,1,et (1),ko (1),3,0.3333333333333333
1973,1973_writer_novels_novel_literary,1,cs (1),nl (1),3,0.3333333333333333
454,454_currencies_currency_monetary_dollar,1,uk (1),cs (1),3,0.3333333333333333
1542,1542_1852_novels_novel_cabin,1,uk (1),et (1),3,0.3333333333333333
1502,1502_rooms_room_palace_furnishings,3,et (2),cs (1),9,0.3333333333333333
1758,1758_noblewomen_empress_maids_governesses,1,uk (1),cs (1),3,0.3333333333333333
1409,1409_missionaries_charity_nuns_orphanages,6,cs (3),ko (4),19,0.3157894736842105
238,238_protesting_activism_protests_protest,3,ko (1),cs (3),10,0.3
1756,1756_horse_horses_cavalry_rode,3,et (2),cs (2),10,0.3
2201,2201_deaf_blindness_disabilities_braille,1,uk (1),cs (1),4,0.25
2090,2090_rose_autobiography_quotes_writing,1,nl (1),uk (1),4,0.25
1872,1872_tsar_1812_armies_casualties,1,cs (1),uk (1),4,0.25
1770,1770_bugs_insects_insecticides_pest,1,uk (1),cs (1),4,0.25
472,472_traditional_dhoti_sari_dresses,1,ko (1),cs (1),4,0.25
1638,1638_contraception_contraceptive_contraceptives_abortion,2,ko (1),uk (1),9,0.2222222222222222
790,790_degree_bachelor_diploma_qualification,2,cs (1),ko (1),9,0.2222222222222222
938,938_ford_presidency_presidential_presidents,3,nl (1),ko (2),14,0.21428571428571427
2322,2322_moon_drummer_drums_drummers,6,et (3),ko (6),29,0.20689655172413793
810,810_butter_gluten_flour_glutenin,2,uk (1),cs (1),10,0.2
1297,1297_hello_greeting_cat_cuteness,1,et (1),nl (1),5,0.2
334,334_boulevard_celebrity_fame_celebrities,1,uk (1),cs (1),5,0.2
2131,2131_viewership_viewers_televised_television,1,et (1),cs (1),5,0.2
2,2_married_divorced_couple_remarried,5,cs (2),ko (4),28,0.17857142857142858
1513,1513_redheads_redhead_reddish_ginger,5,cs (2),ko (4),29,0.1724137931034483
2190,2190_wiggle_band_entertainers_concert,1,cs (1),ko (1),6,0.16666666666666666
956,956_patients_inpatients_physicians_physician,1,uk (1),cs (1),6,0.16666666666666666
335,335_trilogy_remastered_gods_editions,2,uk (1),cs (1),13,0.15384615384615385
1446,1446_happiness_wellbeing_unhappiness_happier,4,cs (2),nl (2),27,0.14814814814814814
1550,1550_dew_cola_flavors_soda,1,cs (1),ko (1),7,0.14285714285714285
1083,1083_tanks_tank_partisan_ideological,1,cs (1),ko (1),7,0.14285714285714285
1013,1013_law_jurisprudence_judicial_statutes,7,et (3),ko (5),54,0.12962962962962962
349,349_kiss_toured_concerts_tour,1,cs (1),ko (1),8,0.125
918,918_hemp_cannabis_textiles_cultivated,1,ko (1),cs (1),8,0.125
1534,1534_famine_famines_starvation_rice,1,ko (1),uk (1),9,0.1111111111111111
1915,1915_fate_fates_doctor_doctorate,2,uk (1),ko (1),24,0.08333333333333333
291,291_peppers_chili_funk_flea,1,ko (1),cs (1),16,0.0625
1082,1082_robots_robot_robotic_robotics,1,ko (1),cs (1),21,0.047619047619047616
