id	assigned_topic	topic_label	label	lang
Erb_1905	790	790_degree_bachelor_diploma_qualification	SVATEBNÍ	cs
Erb_1907	1210	1210_slaughterhouse_novelist_novels_writer	SVATEBNÍ	cs
Erb_1909	1790	1790_cents_coins_monetary_shillings	SVATEBNÍ	cs
Erb_1910	1756	1756_horse_horses_cavalry_rode	SVATEBNÍ	cs
Erb_1915	2145	2145_wastes_waste_disposal_recycling	SVATEBNÍ	cs
Erb_1917	103	103_climber_climbers_mountaineering_climb	SVATEBNÍ	cs
Erb_1918	1083	1083_tanks_tank_partisan_ideological	SVATEBNÍ	cs
Erb_1924	1057	1057_nirvana_overdosed_grunge_overdose	SVATEBNÍ	cs
Erb_1928	1770	1770_bugs_insects_insecticides_pest	SVATEBNÍ	cs
Erb_1929	248	248_species_wildlife_fauna_birds	SVATEBNÍ	cs
Erb_1930	2358	2358_composers_orchestra_composer_orchestras	SVATEBNÍ	cs
Erb_1931	192	192_polygamous_polygamy_polyamory_polygamists	SVATEBNÍ	cs
Erb_1932	1973	1973_writer_novels_novel_literary	SVATEBNÍ	cs
Erb_1934	107	107_anthrax_slayer_thrash_bands	SVATEBNÍ	cs
Erb_1940	1059	1059_blinding_heartless_lights_song	SVATEBNÍ	cs
Erb_1942	0	0_goalscorer_scored_goals_goal	SVATEBNÍ	cs
Erb_1943	1700	1700_saints_row_stadia_games	SVATEBNÍ	cs
Erb_1944	1446	1446_happiness_wellbeing_unhappiness_happier	SVATEBNÍ	cs
Erb_1945	177	177_dementia_dementias_neurodegenerative_parkinsonism	SVATEBNÍ	cs
Erb_1946	1756	1756_horse_horses_cavalry_rode	SVATEBNÍ	cs
Erb_1948	2154	2154_studios_lions_acquisitions_paramount	SVATEBNÍ	cs
Erb_1950	1813	1813_honeys_honey_honeydew_bees	SVATEBNÍ	cs
Erb_1951	2222	2222_retailer_store_sales_shop	SVATEBNÍ	cs
Erb_1952	512	512_women_comfort_geisha_grandmothers	SVATEBNÍ	cs
Erb_1955	1027	1027_daddy_reggaeton_rapper_rap	SVATEBNÍ	cs
Erb_1957	1027	1027_daddy_reggaeton_rapper_rap	SVATEBNÍ	cs
Erb_1958	1448	1448_airplay_tv_apple_televisions	SVATEBNÍ	cs
Erb_1959	1448	1448_airplay_tv_apple_televisions	SVATEBNÍ	cs
Erb_1967	917	917_holly_finale_office_receptionist	SVATEBNÍ	cs
Erb_1968	1863	1863_rap_rock_album_band	SVATEBNÍ	cs
Erb_1969	1863	1863_rap_rock_album_band	SVATEBNÍ	cs
Erb_1970	1863	1863_rap_rock_album_band	SVATEBNÍ	cs
Erb_1972	1477	1477_smartwatch_watches_smartwatches_apple	SVATEBNÍ	cs
Erb_1973	1027	1027_daddy_reggaeton_rapper_rap	SVATEBNÍ	cs
Erb_1974	1409	1409_missionaries_charity_nuns_orphanages	SVATEBNÍ	cs
Erb_1978	417	417_pharaoh_prophets_prophet_messiah	SVATEBNÍ	cs
Erb_1979	1531	1531_albums_concert_toured_band	SVATEBNÍ	cs
Erb_1980	1559	1559_rockabilly_chorus_songwriter_singing	SVATEBNÍ	cs
Erb_1981	520	520_spice_concert_girls_spicy	SVATEBNÍ	cs
Erb_1982	1409	1409_missionaries_charity_nuns_orphanages	SVATEBNÍ	cs
Erb_1984	956	956_patients_inpatients_physicians_physician	SVATEBNÍ	cs
Erb_1987	238	238_protesting_activism_protests_protest	SVATEBNÍ	cs
Erb_1988	889	889_fashion_designers_designer_fashions	SVATEBNÍ	cs
Erb_1989	1919	1919_racing_eliminated_laps_motorsports	SVATEBNÍ	cs
Erb_1991	7	7_touchdowns_interceptions_quarterback_touchdown	SVATEBNÍ	cs
Erb_1992	2048	2048_biblical_patriarch_prophethood_genesis	SVATEBNÍ	cs
Erb_1993	1579	1579_phase_phases_transformer_electrical	SVATEBNÍ	cs
Erb_1994	75	75_boxer_heavyweight_middleweight_heavyweights	SVATEBNÍ	cs
Erb_1995	1756	1756_horse_horses_cavalry_rode	SVATEBNÍ	cs
Erb_1997	1053	1053_bird_storm_star_rebounds	SVATEBNÍ	cs
Erb_1999	1756	1756_horse_horses_cavalry_rode	SVATEBNÍ	cs
Erb_2003	1872	1872_tsar_1812_armies_casualties	SVATEBNÍ	cs
Erb_2004	1872	1872_tsar_1812_armies_casualties	SVATEBNÍ	cs
Erb_2005	2350	2350_condemnation_testimony_guilt_heresy	SVATEBNÍ	cs
Erb_2009	1119	1119_proud_boys_protests_protesters	SVATEBNÍ	cs
Erb_2013	1477	1477_smartwatch_watches_smartwatches_apple	SVATEBNÍ	cs
Erb_2016	1083	1083_tanks_tank_partisan_ideological	SVATEBNÍ	cs
Erb_2017	1409	1409_missionaries_charity_nuns_orphanages	SVATEBNÍ	cs
Erb_2018	2284	2284_tennis_tournaments_tournament_finalist	SVATEBNÍ	cs
Erb_2020	1707	1707_monastery_monks_monastic_monastics	SVATEBNÍ	cs
Erb_2022	1973	1973_writer_novels_novel_literary	SVATEBNÍ	cs
Erb_2023	177	177_dementia_dementias_neurodegenerative_parkinsonism	SVATEBNÍ	cs
Erb_2024	2115	2115_taxation_tax_taxes_taxed	SVATEBNÍ	cs
Erb_2025	2115	2115_taxation_tax_taxes_taxed	SVATEBNÍ	cs
Erb_2026	797	797_stripes_jack_bands_band	SVATEBNÍ	cs
Erb_2027	192	192_polygamous_polygamy_polyamory_polygamists	SVATEBNÍ	cs
Erb_2034	1028	1028_probability_probabilities_doors_car	SVATEBNÍ	cs
Erb_2036	192	192_polygamous_polygamy_polyamory_polygamists	SVATEBNÍ	cs
Erb_2039	2172	2172_home_sequels_sequel_screenplays	SVATEBNÍ	cs
Erb_2040	2133	2133_niece_grandmother_1918_aunt	SVATEBNÍ	cs
Erb_2041	925	925_stones_stone_guitarist_guitarists	SVATEBNÍ	cs
Erb_2044	1267	1267_doomsday_sequel_gameplay_multiplayer	SVATEBNÍ	cs
Erb_2048	1887	1887_bake_baking_bakery_bakeries	SVATEBNÍ	cs
Erb_2049	2232	2232_clitoris_position_positions_intercourse	SVATEBNÍ	cs
Erb_2051	2232	2232_clitoris_position_positions_intercourse	SVATEBNÍ	cs
Erb_2052	2282	2282_rosemary_lobotomy_nuns_lobotomized	SVATEBNÍ	cs
Erb_2054	349	349_kiss_toured_concerts_tour	SVATEBNÍ	cs
Erb_2055	1323	1323_sheikh_prince_sultan_heir	SVATEBNÍ	cs
Erb_2056	515	515_ribbons_ribbon_gallantry_medals	SVATEBNÍ	cs
Erb_2057	2	2_married_divorced_couple_remarried	SVATEBNÍ	cs
Erb_2058	1492	1492_attractiveness_aesthetics_beauty_aesthetic	SVATEBNÍ	cs
Erb_2059	107	107_anthrax_slayer_thrash_bands	SVATEBNÍ	cs
Erb_2060	215	215_emperors_emperor_roman_empire	SVATEBNÍ	cs
Erb_2061	1513	1513_redheads_redhead_reddish_ginger	SVATEBNÍ	cs
Erb_2062	2072	2072_dancer_dances_danced_dancing	SVATEBNÍ	cs
Erb_2063	1513	1513_redheads_redhead_reddish_ginger	SVATEBNÍ	cs
Erb_2065	1650	1650_uniforms_uniformed_berets_beret	SVATEBNÍ	cs
Erb_2067	896	896_airlines_airline_pan_flights	SVATEBNÍ	cs
Erb_2068	83	83_marvel_spider_marvels_avenger	SVATEBNÍ	cs
Erb_2069	441	441_woman_wonder_goddess_feminist	SVATEBNÍ	cs
Erb_2070	1650	1650_uniforms_uniformed_berets_beret	SVATEBNÍ	cs
Erb_2072	441	441_woman_wonder_goddess_feminist	SVATEBNÍ	cs
Erb_2074	1123	1123_shroud_crucified_crucifixion_burial	SVATEBNÍ	cs
Erb_2075	107	107_anthrax_slayer_thrash_bands	SVATEBNÍ	cs
Erb_2077	107	107_anthrax_slayer_thrash_bands	SVATEBNÍ	cs
Erb_2082	551	551_dances_dance_dancers_traditional	SVATEBNÍ	cs
Erb_2083	551	551_dances_dance_dancers_traditional	SVATEBNÍ	cs
Erb_2084	551	551_dances_dance_dancers_traditional	SVATEBNÍ	cs
Erb_2086	192	192_polygamous_polygamy_polyamory_polygamists	SVATEBNÍ	cs
Erb_2088	790	790_degree_bachelor_diploma_qualification	SVATEBNÍ	cs
Erb_2089	1233	1233_awards_idol_nominations_sang	SVATEBNÍ	cs
Erb_2090	442	442_suffrage_referendum_referendums_women	SVATEBNÍ	cs
Erb_2091	1793	1793_soldier_poet_poem_poems	SVATEBNÍ	cs
Erb_2092	291	291_peppers_chili_funk_flea	SVATEBNÍ	cs
Erb_2093	1492	1492_attractiveness_aesthetics_beauty_aesthetic	SVATEBNÍ	cs
Erb_2095	1863	1863_rap_rock_album_band	SVATEBNÍ	cs
Erb_2097	790	790_degree_bachelor_diploma_qualification	SVATEBNÍ	cs
Erb_2099	335	335_trilogy_remastered_gods_editions	SVATEBNÍ	cs
Erb_2100	63	63_breeds_terrier_terriers_shepherd	SVATEBNÍ	cs
Erb_2102	989	989_cook_voyage_voyages_sailed	SVATEBNÍ	cs
Erb_2104	248	248_species_wildlife_fauna_birds	SVATEBNÍ	cs
Erb_2106	245	245_awards_nominated_nominations_screenplay	SVATEBNÍ	cs
Erb_2107	2227	2227_beetle_beetles_convertible_fenders	SVATEBNÍ	cs
Erb_2108	2072	2072_dancer_dances_danced_dancing	SVATEBNÍ	cs
Erb_2109	1528	1528_halo_chief_343_master	SVATEBNÍ	cs
Erb_2110	1887	1887_bake_baking_bakery_bakeries	SVATEBNÍ	cs
Erb_2112	0	0_goalscorer_scored_goals_goal	SVATEBNÍ	cs
Erb_2113	598	598_sitcom_woody_cast_primetime	SVATEBNÍ	cs
Erb_2114	1756	1756_horse_horses_cavalry_rode	SVATEBNÍ	cs
Erb_2116	956	956_patients_inpatients_physicians_physician	SVATEBNÍ	cs
Erb_2117	999	999_rescuers_rescuer_survivors_rescue	SVATEBNÍ	cs
Erb_2119	83	83_marvel_spider_marvels_avenger	SVATEBNÍ	cs
Erb_2120	1075	1075_printing_printmaking_printers_printer	SVATEBNÍ	cs
Erb_2121	1550	1550_dew_cola_flavors_soda	SVATEBNÍ	cs
Erb_2124	1762	1762_hill_gibbons_vocalist_rock	SVATEBNÍ	cs
Erb_2126	441	441_woman_wonder_goddess_feminist	SVATEBNÍ	cs
Erb_2127	1733	1733_devil_demon_satan_soul	SVATEBNÍ	cs
Erb_2128	1018	1018_ninja_ninjas_anime_kai	SVATEBNÍ	cs
Erb_2130	335	335_trilogy_remastered_gods_editions	SVATEBNÍ	cs
Erb_2131	1132	1132_burning_burners_organizers_attendees	SVATEBNÍ	cs
Erb_2134	1573	1573_lent_fasting_easter_liturgy	SVATEBNÍ	cs
Erb_2135	2152	2152_transit_commute_commuting_commuters	SVATEBNÍ	cs
Erb_2137	1508	1508_mansion_mansions_estate_residence	SVATEBNÍ	cs
Erb_2138	1793	1793_soldier_poet_poem_poems	SVATEBNÍ	cs
Erb_2141	1728	1728_medal_medals_presidential_president	SVATEBNÍ	cs
Erb_2143	2230	2230_rush_bands_rock_zeppelin	SVATEBNÍ	cs
Erb_2145	2	2_married_divorced_couple_remarried	SVATEBNÍ	cs
Erb_2146	561	561_laundering_banking_trafficking_smuggling	SVATEBNÍ	cs
Erb_2150	810	810_butter_gluten_flour_glutenin	SVATEBNÍ	cs
Erb_2151	999	999_rescuers_rescuer_survivors_rescue	SVATEBNÍ	cs
Erb_2153	989	989_cook_voyage_voyages_sailed	SVATEBNÍ	cs
Erb_2154	1453	1453_campaigned_politician_governor_long	SVATEBNÍ	cs
Erb_2159	1819	1819_javelin_athlete_badminton_olympic	SVATEBNÍ	cs
Erb_2160	1538	1538_bridges_bridge_viaducts_arches	SVATEBNÍ	cs
Erb_2163	989	989_cook_voyage_voyages_sailed	SVATEBNÍ	cs
Erb_2166	2190	2190_wiggle_band_entertainers_concert	SVATEBNÍ	cs
Erb_2169	790	790_degree_bachelor_diploma_qualification	SVATEBNÍ	cs
Erb_2170	1657	1657_shamrocks_parades_shamrock_celebrated	SVATEBNÍ	cs
Erb_2171	2	2_married_divorced_couple_remarried	SVATEBNÍ	cs
Erb_2175	1862	1862_quixotic_literature_chivalric_novel	SVATEBNÍ	cs
Erb_2177	938	938_ford_presidency_presidential_presidents	SVATEBNÍ	cs
Erb_2180	1003	1003_motocross_motorcycle_stunt_bike	SVATEBNÍ	cs
THB_40	506	506_soprano_mafia_joey_carmine	MILOSTNÉ	cs
THB_100	1770	1770_bugs_insects_insecticides_pest	VOJENSKÉ	cs
THB_101	349	349_kiss_toured_concerts_tour	VOJENSKÉ	cs
THB_102	1770	1770_bugs_insects_insecticides_pest	VOJENSKÉ	cs
THB_103	1195	1195_mac_office_os_versions	VOJENSKÉ	cs
THB_104	938	938_ford_presidency_presidential_presidents	VOJENSKÉ	cs
THB_105	2057	2057_streaming_premiere_tv_stream	VOJENSKÉ	cs
h21305000012	107	107_anthrax_slayer_thrash_bands	toolaulud	et
e000151070015	1877	1877_zombie_walkers_zombies_walking	pulmalaulud	et
eys0617830287	1877	1877_zombie_walkers_zombies_walking	pulmalaulud	et
h21304930008	506	506_soprano_mafia_joey_carmine	pulmalaulud	et
e000076970008	551	551_dances_dance_dancers_traditional	pulmalaulud	et
eys0807390339	1028	1028_probability_probabilities_doors_car	toolaulud	et
h21305400049	515	515_ribbons_ribbon_gallantry_medals	pulmalaulud	et
e000093390023	1863	1863_rap_rock_album_band	pulmalaulud	et
e000099700006	1013	1013_law_jurisprudence_judicial_statutes	pulmalaulud	et
e000138100007	2222	2222_retailer_store_sales_shop	pulmalaulud	et
eys0617770000	213	213_showrunner_episode_showrunners_episodes	pulmalaulud	et
eys0910530166	2222	2222_retailer_store_sales_shop	pulmalaulud	et
h21400660083	520	520_spice_concert_girls_spicy	pulmalaulud	et
eks1500010001	989	989_cook_voyage_voyages_sailed	pulmalaulud	et
h31703830047	2125	2125_libel_celebrity_reportedly_scandals	pulmalaulud	et
e000093890060	1013	1013_law_jurisprudence_judicial_statutes	pulmalaulud	et
e000123260005	1813	1813_honeys_honey_honeydew_bees	pulmalaulud	et
e000598850000	840	840_airline_airlines_seats_seating	pulmalaulud	et
e000613860003	2163	2163_sausage_sausages_bun_chili	pulmalaulud	et
ea00006930012	1650	1650_uniforms_uniformed_berets_beret	pulmalaulud	et
eks1500040003	2	2_married_divorced_couple_remarried	pulmalaulud	et
ekse00380000	2163	2163_sausage_sausages_bun_chili	pulmalaulud	et
era200101440001	171	171_mountains_mountain_plains_topography	pulmalaulud	et
era201101840004	1756	1756_horse_horses_cavalry_rode	pulmalaulud	et
era201103470003	1756	1756_horse_horses_cavalry_rode	pulmalaulud	et
era201400770017	1637	1637_donkey_fairy_godmother_dragon	pulmalaulud	et
era201402870024	640	640_defamation_lawsuit_sued_libel	pulmalaulud	et
era202401570002	1028	1028_probability_probabilities_doors_car	pulmalaulud	et
era202403540008	441	441_woman_wonder_goddess_feminist	pulmalaulud	et
era202403770004	775	775_seo_searches_webmaster_webmasters	pulmalaulud	et
era203201730004	1013	1013_law_jurisprudence_judicial_statutes	pulmalaulud	et
era205705680044	1606	1606_ibn_folktales_tales_literature	pulmalaulud	et
estk4000600094	1366	1366_data_datasets_analytics_databases	pulmalaulud	et
eys0506170036	2322	2322_moon_drummer_drums_drummers	pulmalaulud	et
eys0506300060	1013	1013_law_jurisprudence_judicial_statutes	pulmalaulud	et
eys0610680228	1297	1297_hello_greeting_cat_cuteness	pulmalaulud	et
eys0614410114	1863	1863_rap_rock_album_band	pulmalaulud	et
eys0614660155	2129	2129_fish_cannibalism_tortured_murders	pulmalaulud	et
eys0614760170	1013	1013_law_jurisprudence_judicial_statutes	pulmalaulud	et
eys0614860183	441	441_woman_wonder_goddess_feminist	pulmalaulud	et
eys0615110244	1028	1028_probability_probabilities_doors_car	pulmalaulud	et
eys0616190047	1013	1013_law_jurisprudence_judicial_statutes	pulmalaulud	et
eys0706630026	1852	1852_slim_richest_billionaire_pesos	pulmalaulud	et
eys0706800056	992	992_linden_lab_copyright_token	pulmalaulud	et
eys0715340010	63	63_breeds_terrier_terriers_shepherd	pulmalaulud	et
eys0715460027	2163	2163_sausage_sausages_bun_chili	pulmalaulud	et
eys0715690076	1869	1869_slender_skinny_creepypastas_creepypasta	pulmalaulud	et
eys0715960116	1013	1013_law_jurisprudence_judicial_statutes	pulmalaulud	et
eys0716160145	1119	1119_proud_boys_protests_protesters	pulmalaulud	et
eys0716980268	1013	1013_law_jurisprudence_judicial_statutes	pulmalaulud	et
eys0716980269	2080	2080_strikers_goalscoring_winger_striker	pulmalaulud	et
eys0717540369	213	213_showrunner_episode_showrunners_episodes	pulmalaulud	et
eys0717550372	551	551_dances_dance_dancers_traditional	pulmalaulud	et
eys0722820026	2220	2220_yards_quarterback_touchdowns_receptions	pulmalaulud	et
eys0722910041	532	532_coffeehouse_coffee_coffees_cafe	pulmalaulud	et
eys0722920043	551	551_dances_dance_dancers_traditional	pulmalaulud	et
eys0723140094	1367	1367_punk_flag_bands_black	pulmalaulud	et
eys0723150096	1516	1516_microwaves_microwave_oven_ovens	pulmalaulud	et
eys0805580059	952	952_gymnast_gymnastics_gymnasts_olympic	pulmalaulud	et
eys0805620068	1756	1756_horse_horses_cavalry_rode	pulmalaulud	et
eys0806100140	1502	1502_rooms_room_palace_furnishings	pulmalaulud	et
eys0806530216	213	213_showrunner_episode_showrunners_episodes	pulmalaulud	et
eys0806880268	1756	1756_horse_horses_cavalry_rode	pulmalaulud	et
eys0808150447	606	606_sponsors_sponsorship_sponsor_sponsorships	pulmalaulud	et
eys0808210454	107	107_anthrax_slayer_thrash_bands	pulmalaulud	et
eys0808360479	2172	2172_home_sequels_sequel_screenplays	pulmalaulud	et
eys080837480b	63	63_breeds_terrier_terriers_shepherd	pulmalaulud	et
eys0811530008	2340	2340_tower_towers_elevators_elevator	pulmalaulud	et
eys0811780054	1664	1664_mini_convertible_redesigned_discontinued	pulmalaulud	et
eys0909490011	606	606_sponsors_sponsorship_sponsor_sponsorships	pulmalaulud	et
eys0910020091	1104	1104_chamberlain_1945_minister_resigned	pulmalaulud	et
eys0922830094	2322	2322_moon_drummer_drums_drummers	pulmalaulud	et
eys1022430016	213	213_showrunner_episode_showrunners_episodes	pulmalaulud	et
eys1022630061	2322	2322_moon_drummer_drums_drummers	toolaulud	et
eys1022780086	715	715_paleolithic_neolithic_archaeological_prehistory	pulmalaulud	et
eys1022880100	159	159_windows_vista_os_pc	toolaulud	et
eys1029050081	1006	1006_runes_rune_runestones_inscriptions	pulmalaulud	et
h10100180002	2274	2274_housewives_housewife_cast_reunion	pulmalaulud	et
h10101990032	1297	1297_hello_greeting_cat_cuteness	pulmalaulud	et
h10102020037	1039	1039_elves_elf_folklore_fairies	pulmalaulud	et
h10102450128	1502	1502_rooms_room_palace_furnishings	pulmalaulud	et
h10700370019	1013	1013_law_jurisprudence_judicial_statutes	pulmalaulud	et
h10700600059	2163	2163_sausage_sausages_bun_chili	pulmalaulud	et
h20102850423	877	877_stratosphere_meteorological_stratospheric_climatic	pulmalaulud	et
h20102880426	741	741_airing_adult_swim_aqua	pulmalaulud	et
h21109540011	2131	2131_viewership_viewers_televised_television	pulmalaulud	et
h21300830027	7	7_touchdowns_interceptions_quarterback_touchdown	pulmalaulud	et
h21301290022	1349	1349_howl_poetry_poet_poems	pulmalaulud	et
h21304900006	520	520_spice_concert_girls_spicy	pulmalaulud	et
h21304960009	129	129_pol_communists_rouge_soviet	pulmalaulud	et
h21306030003	955	955_pearls_pearl_pearling_oysters	pulmalaulud	et
h21403410004	1013	1013_law_jurisprudence_judicial_statutes	pulmalaulud	et
h22609160021	1013	1013_law_jurisprudence_judicial_statutes	toolaulud	et
h24000901036	938	938_ford_presidency_presidential_presidents	pulmalaulud	et
h24607080020	1874	1874_mosque_synagogue_temple_synagogues	pulmalaulud	et
h25706320016	1502	1502_rooms_room_palace_furnishings	pulmalaulud	et
h30101360004	925	925_stones_stone_guitarist_guitarists	pulmalaulud	et
h30101400008	938	938_ford_presidency_presidential_presidents	pulmalaulud	et
h30400830001	1502	1502_rooms_room_palace_furnishings	pulmalaulud	et
h31708530008	1513	1513_redheads_redhead_reddish_ginger	toolaulud	et
goheung-0512	1409	1409_missionaries_charity_nuns_orphanages	Lament_lament	ko
yeongdong-0104	1013	1013_law_jurisprudence_judicial_statutes	Lament_lament	ko
hwacheon-0217	1028	1028_probability_probabilities_doors_car	Lament_lament	ko
gn.goseong-0107	2154	2154_studios_lions_acquisitions_paramount	Lament_lament	ko
hampyeong-0402	472	472_traditional_dhoti_sari_dresses	Lament_lament	ko
yeongam-0423	1409	1409_missionaries_charity_nuns_orphanages	Lament_lament	ko
icheon-0412	291	291_peppers_chili_funk_flea	Lament_lament	ko
jindo-0543	1211	1211_sequels_ash_trilogy_evil	Lament_lament	ko
cheolwon-0310	2	2_married_divorced_couple_remarried	Lament_lament	ko
namhae-0205	1132	1132_burning_burners_organizers_attendees	Lament_lament	ko
nonsan-0106	147	147_cardiovascular_cardiomyopathy_cardiac_hypertension	Lament_lament	ko
ulsan-0919	1226	1226_magnetism_magnetic_electromagnetism_magnetization	Lament_lament	ko
gochang-0712	1013	1013_law_jurisprudence_judicial_statutes	Lament_lament	ko
yangyang-1208	2322	2322_moon_drummer_drums_drummers	Lament_lament	ko
muju-0508	1915	1915_fate_fates_doctor_doctorate	Lament_lament	ko
yanggu-0929	291	291_peppers_chili_funk_flea	Lament_lament	ko
hwacheon-0208	291	291_peppers_chili_funk_flea	Lament_lament	ko
gangjin-0309	938	938_ford_presidency_presidential_presidents	Lament_lament	ko
dalseong-0119	2322	2322_moon_drummer_drums_drummers	Lament_lament	ko
hampyeong-0404	1513	1513_redheads_redhead_reddish_ginger	Lament_lament	ko
yeonggwang-0136	1877	1877_zombie_walkers_zombies_walking	Lament_lament	ko
hampyeong-0403	2202	2202_medieval_antiquity_renaissance_darkness	Lament_lament	ko
gwangjusi-0235	1819	1819_javelin_athlete_badminton_olympic	Lament_lament	ko
andong-0223	53	53_comedian_primetime_night_comedians	Lament_lament	ko
haenam-0523	2045	2045_groceries_restaurants_restaurant_taxicab	Lament_lament	ko
namhae-0206	2322	2322_moon_drummer_drums_drummers	Lament_lament	ko
mungyeong-0513	1915	1915_fate_fates_doctor_doctorate	Lament_lament	ko
yeonggwang-0225	790	790_degree_bachelor_diploma_qualification	Lament_lament	ko
seosan-0204	809	809_fitness_gyms_gym_gymnastics	Lament_lament	ko
sinan-0721	441	441_woman_wonder_goddess_feminist	Lament_lament	ko
inje-0209	2322	2322_moon_drummer_drums_drummers	Lament_lament	ko
yeonggwang-0411	1991	1991_pods_pod_containers_cluster	Lament_lament	ko
yeongcheon-0223	1082	1082_robots_robot_robotic_robotics	Lament_lament	ko
muju-0713	1082	1082_robots_robot_robotic_robotics	Lament_lament	ko
damyang-0417	1932	1932_law_laws_theological_morality	Lament_lament	ko
hwacheon-0917	291	291_peppers_chili_funk_flea	Lament_lament	ko
dalseong-0308	1013	1013_law_jurisprudence_judicial_statutes	Lament_lament	ko
dalseong-0213	2	2_married_divorced_couple_remarried	Lament_lament	ko
eumseong-0512	1013	1013_law_jurisprudence_judicial_statutes	Lament_lament	ko
sancheong-0118	1502	1502_rooms_room_palace_furnishings	Lament_lament	ko
gwangyang-0108	2205	2205_bow_actress_1932_laurels	Lament_lament	ko
chilgok-0403	2163	2163_sausage_sausages_bun_chili	Lament_lament	ko
cheongsong-0228	2133	2133_niece_grandmother_1918_aunt	Lament_lament	ko
gyeongsan-0703	1013	1013_law_jurisprudence_judicial_statutes	Lament_lament	ko
