Topic,Count,Name,Representation,Representative_Docs
9,39,9_black horses_horses_little horses_horse,"['black horses', 'horses', 'little horses', 'horse', 'black horse', 'horse carry', 'farmer', 'mare', 'cows', 'grazing']","['1. Whose fields are these, unplowed fields? Pepíček is grazing there, Pepíček is grazing four black horses there.  \r\n2. Four black horses, the fifth is a foal, my sweetheart is carrying a lad to me.  \r\n3. Where are you carrying that to me, isn’t it mine? Two other young men used to come after you.  \r\n4. Others used to come, you used to come too, you used to be at our place until half past four.', 'Horses, a black horse stands under the maple tree, and it is being groomed for the field by his dearest. ""If I knew whose little horses these were, I would bring them some cold water. If I knew they belonged to my boy, I would have fed them some grainy oats.""', 'I have horses, black horses, these are my horses: when I give them oats, they jump hop! I have horses, black horses, these are my horses. I have horses, black horses, these are my horses: when I give them feed, they run into a leap; I have horses, black horses, these are my horses. I have horses, black horses, these are my horses: when I give them clover, they neigh happily; I have horses, black horses, these are my horses.']"
10,39,10_rooster_peacock feathers_hen_bird,"['rooster', 'peacock feathers', 'hen', 'bird', 'little bird', 'birds', 'peacock', 'feast', 'dinner', 'farmer']","['O only heart! The time has come: give me an egg, or I will come again; red or white, but the hen will lay another for you, by the stove in the corner on a golden twig, a nice white one.', 'Red eggs! Red eggs! If you don’t give red, give white, the hen will lay others for you by the stove in the corner on a willow twig. The twig is a switch, sitting on it is a golden rooster.', 'Feasts, feasts, accompaniments,  \r\nfor a red egg,  \r\nif you don’t give a red one,  \r\nat least give a white one,  \r\nthe hen will lay another for you  \r\nby the stove in the corner,  \r\non a green twig,  \r\nthe twig bends,  \r\nthe rooster crows,  \r\na few eggs for the little pot,  \r\na bit of butter into it  \r\nand it’s done.']"
11,37,11_bagpipes_musicians_violin_music,"['bagpipes', 'musicians', 'violin', 'music', 'tune', 'musicians play', 'drum', 'dance', 'dancing', 'listen']","['Is it true or not that the piper is floating on the water? How could it not be true? said the blue-eyed girl. Go, people, go with your hooks, pull him up along with the bagpipes. They killed the little piper, they did, 1) who will play the bagpipes for us now? There is still one like him here: may God preserve him for us! Play, little piper, play! or give me those golden bagpipes. ""Before I give you those golden bagpipes, I\'d rather play them for you."" Play, little piper, as well as you can, you know it well. ""How could I play well? I haven\'t even blown the little pipe yet! When I have blown the little pipe, then I will play well.""', 'Listen little to the people about what happened years ago, how a wedding was held that attracted many spectators. The groom was from Chudá Třída, and the bride from Ženská Bída; they were declared in Jekov and married in Nebylov. The best man was from Drbalov and the young man from Vyhnanov, the bridesmaid was from Strojetice and the cook from Odřetice. There was plenty of beer and wine, everyone drank as they pleased; and when the meal was over, everything was ready for dancing. The violin was played by someone from Šumava, the shawm from Vratislav; and the trumpeters who blew the trumpets were from somewhere near Mrázov. From Strakonice came the bagpipers, from Trhanov the players of kobzas (a type of lute), with the drum from Dobříň and with kettledrums from Kokořín. One frkoč (a type of folk instrument) was blown by someone from Lom: people marveled at where such a band was found for this wedding. It was a feast, dancing across the ditches! After that time they parted – I do not know where they will meet again.', 'Musicians! What are you doing? You have beer and you are not playing. Play the violin for me, cheer up those girls. Play the bass for me, cheer up all the crowd. Play the bagpipes for me, cheer up everyone everywhere. Play all together for me, escort me all the way home.']"
12,31,12_hunters_farmer_forest_grazing,"['hunters', 'farmer', 'forest', 'grazing', 'rifle', 'black forest', 'killed', 'fence', 'beautiful little', 'shot']","['A hunter shot at a jay, hitting it on the collar: it got scared and escaped to a green grove. He wanted to kill the hunter, but he didn’t know how to load for it: it perched on a twig, bent its little head, and he had to catch it.', '1. The farmer is mowing in the meadow, his scythe does not want to cut, and he looks back, raising his eyes to the sky to see how high the sun is.  \r\n2. The sun is at noon, my dear, escort me, escort me across the village, and I will escort you through the forest, then we will part ways.  \r\n3. When she went out on the path, she sang that little song, she sang hahaha, I have already won, my golden huntsman.  \r\n4. The huntsman killed a jay, put it in his hat, it scratched itself until it scratched its way into the green grove.  \r\n5. There it perched on a little branch, sang that little song, sang hahaha, I have already won, my golden huntsman.', 'Waiting. There is nothing better in the world than a green grove: when that beautiful little moon clears up above it! And here I am with my beloved, waiting again for wild game, for wild game, for roe deer, stags, and hares. A hare runs through the valley, a roe deer runs through the grove; the little hare approaches my maiden, he does not know her. ""I shot at the hare, only that I missed him: oh, my dear God, how I aimed! Teach me, little hunter, teach me to shoot: I want to gladly reward you for it sometime. I will shoot a roe deer for you, give you a beautiful little kiss; you will be happy about it, we will both have enough."" Záb. mysl I, 50, 51.']"
13,30,13_marry_married_wife_husband,"['marry', 'married', 'wife', 'husband', 'dear father', 'pretty girl', 'grows', 'honzík', 'nanynka', 'pretty']","[""My father, I beg you, I must get Nanynka. If I don't get her, I will not marry. Father says: But she is poor! My father, she has ducats saved with the pantát (landlord) and I will get them with her if I take her as my wife. But she is hunchbacked! Whether she is straight or crooked, she is still my beloved, I want no other wife, only if I get her. But she is lazy! She is not lazy, dear father, people slandered her, I will want to take her as my wife. You give no advice! When you, my father, persuaded my mother, you did not pay much attention to advice, you got what you wanted. Just don’t scold me anymore and give her to me as my wife, I will live with her always, true until death."", ""Don't worry, just get married while you are very young; just get married, don't worry, while you are young: once your roses fade, you won't get a husband; don't worry, just get married while you are young! Don't worry, just get married while you are pretty; just get married, don't worry, while you are pretty: times will come, your hair will gray; don't worry, just get married while you are pretty!"", 'Everyone has already gotten married, I’ll wait a bit longer until my hair turns gray, then I’ll throw it to the cats, hop hop hop hop hop hop hop hop. The song ""Nevdávej se, má panenko"" (Don’t get married, my maiden) is sung to the same tune.']"
14,29,14_garden_little garden_pear tree_flower,"['garden', 'little garden', 'pear tree', 'flower', 'apples', 'pears', 'pear', 'grows', 'trees', 'pine']","['Above Pušperek, that little hill is green, and on it sits a swallow, calling out: I will go there to listen to what the swallow will tell me. The swallow spoke about my beloved, that I must leave her, as clear as day; as clear as day, the sun shines: that she is my golden maiden like a flower.', ""I don't care about anything, only when I have  \r\na little garden under the windows,  \r\nI don't care about anything, only when I have  \r\na graft under the windows.  \r\nThere grow little apples,  \r\nAnčička picks them,  \r\nthey are good, they are sweet,  \r\nthey are like honey."", 'A pear tree stands in the wide field, greening, rosemary grows beneath it, it is not picked: I must pick it, even if I were to perish there, and you must, my maiden, forget. If our lords found out that a twig was plucked from the rosemary: they would summon all the district officials here, they would immediately capture us for the army.']"
15,26,15_ančička_love dear_want love_golden,"['ančička', 'love dear', 'want love', 'golden', 'don want', 'didn want', 'altar', 'dirty', 'happily', 'bride']","['I don’t want anyone, just my Honza, I don’t want anyone, just Honza. Honza will drive me in a covered carriage, Honza will drive me in a covered carriage, in a covered carriage, with four horses, my golden, golden Honza.', 'My dear Ančička sleeps in the little chamber, Honzíček, the lad, toasted her: “Ančka, my child! Here you go, drink to my health!”  \r\n“Why should I drink to your health? I am not your beloved: Honzíček, child, you are deceiving me!” she said to me.  \r\n“We will settle this with the mayor, the one who lives in our rectory: he will take a hoe and tie us together at the altar.  \r\nWe will love each other, you will sew and I will cradle: and so we will be happily together until death.”', 'My dear Honza, Honza, little Honzíček! I would like to give you my little hand. I am a young girl from Litoměřice, I look like other people, don’t worry about anything. They call me Andulka, that is my name: don’t be afraid, little Honzíček, my lady. You won’t have to do anything, I will support you; just stroll around like a gentleman. My lady wished to give me something so I wouldn’t worry about what she provides for me. Nine pounds of carrots, a sack of flour, two sacks of peas, four buns. A cracked pot, four small ladles, a bowl of wild apples, broken tubs. One old chest without a bottom, without a lid, which my godmother Hedvika promised me. For our wedding, our father will give us an old crow, ox horns. We will sing, Honza, Honza, little Honzíček! Give a kreuzer for this beautiful song.']"
16,22,16_crying_weep_scarf_skirt,"['crying', 'weep', 'scarf', 'skirt', 'daughter', 'franta', 'grandma', 'little kiss', 'hurt', 'shoes']","['1. Our Káča is crying, what’s wrong with her? Thieves stole her blouse. 2. They also stole her clogs so she wouldn’t walk with the boys. 3. They also stole her shoes so she wouldn’t go to the music. 4. They also stole her petticoat so she wouldn’t come to you, Pepíček.', '1. Our Káča is crying, what is wrong with her, what is wrong with her, what is wrong with her? Thieves stole her skirt, thieves, thieves, thieves. 2. They also stole her shoes so she wouldn’t go to the music. 3. They also stole her clogs so she wouldn’t go with the soldiers.', 'Kuca-Baba. A game played in winter in a spacious room. The one who is last during counting becomes Kuca-Baba: one person ties a scarf over their eyes, then two others take them by the hands and, leading them around, ask: Kuca-Baba, where are we taking you? ""To the corner."" What is in that corner? ""A rooster."" What is in that rooster? ""A golden ball."" What is in that ball? ""A golden needle."" What is in that needle? ""A golden thread."" Then catch us, Kuca-Baba! Or also: Where are you going, grandma? ""To the corner."" What is in that corner? ""A rooster."" What more? ""An old shoe."" What is in that shoe? ""A golden apple."" There you have it, grandma! 1) At the last words, one of them lightly taps Kuca-Baba on the back, and leaving her standing in the middle of the room, they all run off to the corners. Kuca-Baba gropes around to catch someone, while the others give signals: if she is far from those hiding, they call out: ""All water! all water!"" If she approaches someone, the others shout: ""Fire! fire!"" In the same way, they signal if Kuca-Baba could do some harm or injure herself: ""Fire"" for example ""window"" – ""shelf"" etc. Whoever she catches must become Kuca-Baba instead of her. 1) This rhyme ends with: Do you like porridge? Go get a spoon!']"
17,22,17_jeníček_castle_nanynka_lords,"['jeníček', 'castle', 'nanynka', 'lords', 'little horses', 'black horses', 'black horse', 'horse', 'little feet', 'rye little']","['That Zbirovský, the castle 1) vaulted all around, my dear is sitting there chained. Tell me, my dear, why did they chain him? ""For you, my dear, because they did not wish me to have you."" What brought him there? The lords of Zbirov: so that he would abandon deceit in love. What brought him there but his young age: what a pity, Jeníček! that you have ruined my world!', 'Jeníček is brushing the black horses in the stable, looking aside to see who will bring him what. They are bringing you, Jeníček, two handcuffs and a lock: the emperor is giving you a betrothal gift, Jeníček. Be careful, Jeníček, when you leave the maiden, the lords of Novodvorský are waiting for you there. The lords of Novodvorský like you: they will give you a black horse and a saber. – And I escaped from them all the way to the white court, there I climbed a high mountain for myself. There I slept until daybreak, until my lady called me to breakfast.', 'In the mountains and valleys, Jeníček is strong like a pea; and his beloved was picking pods there. When she had picked them, she sat on the little meadow; she waited, called out: ""My dear Jeníček!"" As many pods as she took out of her apron, so many times she sighed to herself. As many green grains as were in those pods, so many tears she shed from her eyes. ""You always promised me that you would take me only after you reaped the spring rye under the little grove. You reaped the spring rye, yet you did not take me; may the Lord God give you no happiness. No happiness on your little estate for deceiving me, a poor maiden. A poor maiden—oh, how much she must suffer! She must silently endure every injustice from you.""']"
18,22,18_shoemaker_shoe_shoes_feet,"['shoemaker', 'shoe', 'shoes', 'feet', 'sewing', 'trousers', 'sew', 'tailor', 'laughed', 'priest']","['A boot climbs through the window, the shoemaker calls to it: ""Come here! If you have something torn, I\'ll sew it with thread."" Kramflek\'s awl was at work: it jumped onto the spindle, broke the stick. That round stone jumped into the stones, from the stones onto the shelf – now it\'s all over.', ""1. The shoemaker is hanging from a pea stalk on Lysý, it quickly spread throughout the whole village. [chorus] And you dirty little shoemaker, not even the devil wants you in hell, and you dirty little shoemaker, as if you had bad luck.  \r\n2. The shoemaker's wife ran to the priest to have him bury what the people lie about.  \r\n3. The priest says: That cannot be, he must only be buried beyond the wall.  \r\n4. The shoemaker's wife ran immediately like crazy, that the shoemaker's soul will go to hell.  \r\n5. The eldest journeyman grabbed the bellrope, rang the master's sad hour.  \r\n6. The shoemaker comes to hell, the devil told him he does not want to have bad luck, only that he should go on.  \r\n7. The shoemaker comes to heaven, Saint Peter says: You cannot enter heaven, you would scare God.  \r\n8. Oh, what a poor soul I am, where should I go now, I must go back to earth to frighten people."", 'A pear tree stands in the wide field with green leaves, rejho-rej, ritum-rej, with green leaves. Beneath it stands my maiden with red cheeks, rejho-rej, ritum-rej, with red cheeks. Her beloved passed by: Greetings, God bless you, girl! rejho-rej, ritum-rej, greetings, God bless you, girl! She thanked him: “May God give it to you, shoemaker! rejho-rej, ritum-rej, may God give it to you, shoemaker!” If I am a shoemaker, then you will have a shoemaker as your husband, rejho-rej, ritum-rej, you will have a husband. “First, you must sew me shoes from mosquito skin, rejho-rej, ritum-rej, from mosquito skin.” You must sew me a shirt without thread, without a needle, rejho-rej, ritum-rej, without thread, without a needle. “You must build me a castle on a cabbage stalk, rejho-rej, ritum-rej, on a cabbage stalk.” The stalk will wither, the castle will fall, and you must be mine, rejho-rej, ritum-rej, until the longest death.']"
19,19,19_farmer_farm_sheep_plow,"['farmer', 'farm', 'sheep', 'plow', 'cows', 'horse', 'peasant', 'little horse', 'barn', 'mowing']","['A farmer is mowing in the meadow; his scythe does not want to cut; he always looks around, raising his eyes to the sky to see if the sun is high. When it was past noon, he took the scythe on his shoulder: he ran home and scolded his wife because she did not prepare lunch.', ""In the forest, a wolf, sheep in the pasture, and a farmer. Farmer: Sheep, sheep! Come home. Sheep: We can't. Farmer: Why not? Sheep: Because of the wolf. Farmer: Where is the wolf? Sheep: In the forest, carrying a black sheep. Then the wolf runs out and catches one sheep for himself."", 'The farmer is carrying manure and manure and manure, the farmer is carrying manure; he loaded it with two shovels, when he came through the gate: ""Huja, ploši, huja huja huj, huja, ploši, huj!"" The farmer is carrying manure and manure and manure, the farmer is carrying manure; he does not want to do well because he does not know how to farm: ""Stop, little horse, stop and stop and stop, until I clear the manure.""']"
20,19,20_farmer_grazing_chasing_little horses,"['farmer', 'grazing', 'chasing', 'little horses', 'killed', 'chicks', 'horses', 'clover', 'pond', 'virgin']","[""1. In front of the neighbors by the brook, geese are fighting, take it, Jeník, take the gun, shoot one, take it, Jeník, take the gun, shoot one.  \r\n2. I won't kill those geese, I know them well, they are the lady's geese, where I usually go.  \r\n3. If I killed one of them, she would be angry, and if I came there afterwards, she would be upset."", '1. When you wanted to stay a virgin, (wanted to stay a virgin) you shouldn’t have been herding geese, you shouldn’t have been chasing them into the little grove (chasing them into the little grove) among the boys. Tramtara.  \r\n2. I didn’t chase them there, they flew to me there, as if those little geese somehow knew.', ""1. A little goose was flying, flying from high above, she couldn't make it, she fell into the creek. Lala, lalala, lala, lalala, lala, lalala, lala, lalala.  \r\n2. She fell into the creek, drank the water, so the tavern keepers wouldn’t pour it into the beer.  \r\n3. They didn’t pour it into the beer, but rather into the spirits, so the girls from Prosek wouldn’t get drunk.  \r\n4. The girls from Prosek, they are fancy ones, they had rabbits painted on their backs.  \r\n5. Rabbits on their backs, a fox on the apron, so you would recognize the Prosek factory.""]"
21,19,21_priest_altar_rectory_church,"['priest', 'altar', 'rectory', 'church', 'monastery', 'god grants', 'dress', 'serve', 'place', 'beautifully']","['1. She used to kneel by the chapel, at the glass doors of the monastery, she looked too deeply into the eyes of the young priest.  \r\n2. Then her heart was gripped by unease and a secret sorrow gnawed at her soul, she went to confess her guilt, the priest confessed beautifully.  \r\n3. The priest spoke about faith, made the sign of the cross, you, girl, great sinner, come more often to prayer.  \r\n4. And the girl, very devout, whom the priest watched over closely, until she was quite saintly, then he confessed her again.  \r\n5. They knelt together for a long time, soaking the ground with their tears, now they speak of love together, and not of any hope.', ""1. The priest from Losenice\r\npreaches nicely,\r\nhands out pictures,\r\nbinds hands.\r\n2. I will also go\r\nto that sermon,\r\nto ask\r\nfor one picture.\r\n3. The kind priest\r\nfrom Losenice,\r\nhe gave me a picture,\r\nand a living one.\r\n4. Where shall I put that picture,\r\nwhere shall I hide it,\r\nwhen I have no\r\nplace for it.\r\n5. If I put it in books,\r\nit won't fit,\r\nif I put it in a chest,\r\nit will suffocate.\r\n6. I will put it in the bed,\r\nlie down next to it,\r\nit will give me a kiss\r\nand I will give it one too."", 'The local parish priest here preaches nicely, handing out pictures at the altar; I will also go to the sermon, I will ask for one picture. The local parish priest here: gracious, he gave me a picture, it is lively; where shall I, very sad, where shall I put it when I have no place for it anywhere! If I put it behind glass, it won’t fit; if I put it in the chest, it will get suffocated; I’ll put it behind the table, sit down by it: he will give me a kiss, and I him. From Klatovy. – Compare Suš. 474; Kol I, 241. If I put it behind glass, it will get cut; if I put it in the books, it won’t fit; I will put it in the bed under the blanket, I will enjoy it all winter.']"
22,17,22_handsome_love dear_jeníček_sweetheart,"['handsome', 'love dear', 'jeníček', 'sweetheart', 'dearest', 'dear lady', 'pretty girl', 'girl don', 'marry', 'golden girl']","[""I had a nice sweetheart, and now I have none: I'll ride my horse and go to town, I'll trick another one. I'll trick another, much more sincere: you, girl, don't call to me, you, girl, don't call to me until the longest death!"", 'Oh heavenly God! Am I not handsome, that no girl wants me in Klatovy? I will go out into the world, where happiness blossoms, and there I will find myself a nice girl. Heavenly mother! Am I not pretty, that no boy wants me in Pušperk? I will go out into the world, where happiness blossoms, and there I will find myself a boy too.', 'I had a sweetheart, now I have nothing, he gave me thousands of kisses; others begged him, until they took him away, because they envied me. I would complain, but I have no one to, I know I won’t get you, Jeníček: I will go into the woods, I will call: where are you, where are you, my dearest Jeníček! Blow, little wind,1) to the right side: that I greet my Jeníček; that I greet him, thank him for his love, for his false loving!']"
23,17,23_bride_bridesmaid_wedding_groom,"['bride', 'bridesmaid', 'wedding', 'groom', 'flowers', 'dear mother', 'wreath', 'wreath head', 'altar', 'wife']","['Those famous and wise divine judgments are the greatest treasure of our happiness: they judged, they betrothed you, the bride; you had a rather difficult path to the state of marriage. You relied on your little roses: now tiny bees will embrace you! Even your mother cannot protect you, you must take the wedding cap and be a lady. Still rejoice in your maiden wreath; but soon you will take the cap for it: your destined groom has had it brought, wishing you health and happiness with it.', 'Madam Jersouc! Come out in front of the house: do not be afraid of us, there are seven of us riding; there are seven of us riding, and a few more: if you do not come out, we will ride away again. Madam Jersouc! Sweep the path: we are bringing you a fine bride; she has a new chest, all ducats, colorful quilts, and a halmara too. Madam Jersouc! Welcome us: we are bringing you a bride, she will be for you; she is young, good, and knows how to work: she will not harm you in any way.', 'At the altar, she knelt, reflecting to herself as she gave her hand to her bridegroom: it cannot be otherwise, I must take him, until my full death I must be his. Oh, you musicians! play cheerfully for me while I still have a wreath on my forehead: when I leave here, how sad I will be! How will I sadly forget you! My dear mother walks around me, not saying a single word to me: my dear mother! say a word; soon you will lose me, like a tree loses its apple! Why is it, you bridesmaids! sitting here quietly and sadly lowering your little eyes to the ground? Oldest bridesmaid! say a word; soon you will lose me like a grain from the ear of corn! Now they will braid my wreath, unbraid my hair, put a white cobweb on my head: it cannot be otherwise, I must leave, until my full death I must cover my head!']"
24,13,24_rye_rye little_wheat_barley,"['rye', 'rye little', 'wheat', 'barley', 'grain', 'saint', 'oats', 'st', 'leaves', 'spring']","['How many days after Saint John the cuckoo calls, that many groshes (now perhaps gold coins) will be the measure of rye.', 'Saint Margaret! Give us good grain for wheat and rye, so that we have something to live on and to bring into the barn. Also: let the ears be large, so that we may come again after a year.', 'St. John the Baptist. On the night before St. John, girls pick the down from spring rye, i.e., rye leaves, and tie them from memory in their lap, saying: Great God! Saint John! I humbly ask you to reveal to me yourself whom I will marry.']"
25,13,25_peasant_barley_bread_gentlemen,"['peasant', 'barley', 'bread', 'gentlemen', 'wheel', 'work', 'master', 'letter', 'make', 'ring']","['And you blacksmiths, you filthy ones, you just wait for Sunday: when Sunday comes, you drink happily; then suddenly you make a mess, until there is nothing left in the mug.', '1. A maidservant worked for the gamekeeper, she did not want to eat barley bread. A maidservant worked for the gamekeeper, she went pom and pom.  \r\n2. Wake up, wheelwrights, the day is already white, we will drill holes into the wheel. Wake up, wheelwrights, the day is already white, we will drill wheels.', 'On Crafts. The players count off two among themselves as journeymen. The others are masters and choose one of themselves as the senior master who speaks for them. The journeymen confer behind the door or apart in some other way about a craft or occupation they want to practice, and then, coming before the masters, they say: We poor wanderers, we wander day and night: masters, give us work! The senior master asks: What craft are you of? The journeymen: Our craft is... Then they name the first letter of their agreed-upon craft, for example, if they have agreed on cooperage, they say ""B"". Master: Show your craft. Now the journeymen begin silently to imitate their craft using different gestures. The masters deliberate together what the craft might be, and the senior master announces it on their behalf. When choosing a craft, the journeymen mainly try to prevent the masters from guessing it immediately. If the masters do not guess correctly by the third time, or if they deliberate too long, the journeymen say: Enough of our craft: give us the lesson! Then the craft is revealed to them. If the masters give in, they take the journeymen among themselves, and two others go out as journeymen again to agree on another craft. However, if the masters guess the craft, or refuse to give the lesson because the journeymen erred in some way, for example, by indicating their craft with incorrect gestures, then the journeymen must step back and come again with another craft.']"
26,12,26_prague_wept_weep_vain,"['prague', 'wept', 'weep', 'vain', 'cried', 'beautiful', 'soldiers', 'little flower', 'soldier', 'roses']","['1. Prague is a beautiful city, it is a royal city, Prague is a beautiful city, it is a royal city, come, my dear, come and see how handsome the soldiers are, come, my dear, come and see how handsome the soldiers are.  \r\n2. Yesterday I was drafted, today I already have a white coat, come, my dear, come and see what kind of soldier I am.  \r\n3. I feel sorry, my mother, I feel sorry, I feel sorry for you, that you carried me under your heart, and I have to leave you.  \r\n4. I feel sorry, my father, I feel sorry, I feel sorry for you, that you took care of me, and I have to leave you.  \r\n5. I feel sorry, my Nanynka, I feel sorry, I feel sorry for you, that you loved me faithfully, and I have to leave you.  \r\n6. That little ring you gave me, I will not wear it, when I join my regiment, I will load it into the rifle.  \r\n7. That little scarf you gave me, I will let it float on the water, so I won’t remember you when I am in the army.  \r\n8. That little flower you gave me, I will keep it, when I join my regiment, I will put it behind my hat.  \r\n9. Three hundred miles is beyond Moravia, three hundred miles is beyond Vienna, don’t think, my dear Nanynka, that we won’t be together.  \r\n10. I stand here like a rock, I stand here like a wall, a hot puma flew in, it wounded five men.  \r\n11. The trenches have already been dug, the trenches are ready, come, my dear, come and see how they lay us in them.  \r\n12. There near Hradec Králové thousands of us fell, come, my dear, come and see how sweetly we sleep there.', '1. That little church in Kladno, around it a dark forest, I will look once more, I will look once more, to see what my beloved is doing.  \r\n2. He is riding, my beloved is riding, on his black horse, he just strapped on, he just strapped on a saber on his left side.  \r\n3. When he strapped on the saber, he wept sorrowfully, wept, lamented, wept, lamented, until his horse neighed beneath him.  \r\n4. His mother heard it, ran out of the little room: I welcome you, my son, who sent you to the army, who is the cause of this?  \r\n5. They took me to the army, gave me the Kladno mayor, he took me to the army, tied my hands and feet, left a guard standing by me.  \r\n6. And the guard stood by me from evening till morning, they put me on the train, untied my hands, took me to Brno.  \r\n7. When they brought me to Brno, they led me to the barracks: Open the gates, we bring you a recruit, he was drafted yesterday.', 'That little church in Sebranice, surrounded by a dark forest: I will look once more to see if I can spot whether my beloved is coming by. Ah, my beloved is coming, riding that black horse, fastening a little saber to his left side. After fastening the saber, he stood in front of his house; he wept and grieved until the horse cried out beneath him. Ah, my dear mother! Do you not recognize me, that you let me and my horse stand so long in front of our house? When mother heard this, she ran out into the street: ""Welcome, my son! Who sent you to the army, who caused this?"" Our lord of Sebranice made me join the army: they took me to the army, tied me with ropes, and set a guard over me. And that guard stood by me from evening till morning; and as God gave the day, as God gave the day, they took me to Brno. When they brought me to Brno, they stopped at the gate: ""Open the gates, we bring you a recruit, a subject of Sebranice."" Ah, my dear mother! I beg you sincerely, do not harm and do not hurt my young wife. If God grants her a son or a fair daughter this year, I will send her from the army an embroidered pillow, embroidered pillow and a pink cradle cover: here you have it as a memento, my precious dear, that I loved you.']"
27,12,27_lend_promised_shall_service,"['lend', 'promised', 'shall', 'service', 'farmer', 'serve', 'sell', 'money', 'pay', 'spend']","['Wait, stop, little lad! until I offer my hand to my dear. ""If you wanted to offer your hands, you shouldn\'t have promised before!""', ""1. I am that prodigal son, a wastrel, money is absolutely no use to me, absolutely no use. 2. As soon as I get it, it's immediately gone, lend me money, Mařenka."", 'If you love me, sell whatever you have to pay my ransom from the army; if you pay my ransom, you will not lose on me: then you will be my dear. ""My golden little dove! If you had a little cottage, I would still think of you: but to become a servant, that saddens me, my mother will not allow it.""']"
28,12,28_coat_dress_dressed_jacket,"['coat', 'dress', 'dressed', 'jacket', 'wear', 'fur', 'peasant', 'shirt', 'sew', 'carrying']","['If I were the son of a farmer, how well I would carry myself: but since I am a cottager’s son, I wear a coat without buttons.', 'At White Mountain, a peasant plows, he has a pretty daughter, give her to me, God! Hey, coats, coats, give her to me, God! Hey coats, coats, coat. If I got her, how I would boast: I would boast three hundred thalers with her! Hey coats, coats, etc. A beautiful wife, three hundred thalers: I would have her carried in a covered carriage; hey coats, coats, etc. Footmen in front, footmen behind her; I would have her called: a noble lady! Hey coats, coats, a noble lady! Hey coats, coats, coat!', ""I am a poor lad, I have a few little shirts: my sweetheart is ashamed of me because she always sees me in the same ones. Don't be ashamed of me, girl, I will buy some tomorrow: two thin ones, two thick ones, but God won’t abandon us. Even if I am without a cap, as long as I have a pretty girl; even if I am without a hat, as long as I have a lovely girl. I am a man dressed, my coat turned inside out five times: take me or leave me, I have only one coat. If I were the son of a farmer, I would dress nicely, but since I am the son of smallholders, I wear a coat without buttons.""]"
29,11,29_peasant_carrying_slippers_jičín,"['peasant', 'carrying', 'slippers', 'jičín', 'caught', 'tears', 'tear', 'fell', 'didn', 'feast']","[""1. When Jirka was coming back from the feast, he got a stomach ache, yippee, whoopee!  \r\n2. There was no doctor immediately available, so they sent for the baker.  \r\n3. According to an old custom, the baker rolled Jirka on the lawn.  \r\n4. Jirka took a big dump, he felt incomparable in the world.  \r\n5. People from the magistrate came, saying the poop belongs to the state.  \r\n6. Mr. Barometer came, saying the poop measures a meter.  \r\n7. The poop weighs fifteen pounds, damn, that was something.  \r\n8. They put the poop in a box so that flies wouldn't soil it.  \r\n9. For our singing, lick our asses, gentlemen."", '1. A peasant went to Jičín to buy-, buy-, to buy new glasses in a case to choose-, choose-, to choose. He left, knowing nothing, he left, knowing nothing whether he had the glasses in the case or, or, or nothing.  \r\n2. He saw a maiden standing there, grabbed the case, and when he did not find the glasses in it, he stood stunned, like thunder, ""I put them here, that surely boy from the shop tricked me.""  \r\n3. He ran quickly to the shopkeeper, who asked him if he might have left his glasses there. And the shopkeeper answered that he had an old tow instead of a brain in his head.', '1. When the first shoemaker was born, boom and boomadra, the whole world got angry, boom and boomadra. And the devils in hell were shouting how they betrayed the shoemaker, boom and boomadra, boom and boomadra.  \r\n2. I went there to have shoes made, he said he couldn’t make them, that he couldn’t make them because he had ugly leather.  \r\n3. And I started at him abruptly, saying I must have them by tomorrow. The shoemaker was immediately frightened, and sat straight on a chair.  \r\n4. And then he sees a pig from the window, remembered that he has no bristles, and rushes out the window, sits on the pig.  \r\n5. With one hand he holds the pig, with his teeth he tears out its bristles. [...]  \r\n6. I am the constable’s pig! Even if it was the steward’s pig, I must have the bristles so I can make shoes.  \r\n7. Then the pigs got angry about how they would ruin the shoemaker; when he stands under the window, they will eat him with the chair.  \r\n8. When shoemakers meet a boar, they tip their hats to him: Hail to you, only boar, you give us bristles.']"
